feature_ID	gene_name	FC_Syn_vs_H_at_ZT0	FC_Syn_vs_H_at_ZT12	synaptic_enriched_3104	in_Cajigas_et_al 	in_Ouwenga_et_al 
ENSMUSG00000058355	Abce1	NaN	NaN		+	+
ENSMUSG00000038762	Abcf1	NaN	NaN		+	+
ENSMUSG00000028953	Abcf2	NaN	NaN		+	+
ENSMUSG00000003234	Abcf3	NaN	NaN		+	+
ENSMUSG00000024030	Abcg1	1.653787	2.029132	+	+	+
ENSMUSG00000029802	Abcg2	NaN	NaN		+	+
ENSMUSG00000032131	Abcg4	NaN	NaN		+	+
ENSMUSG00000006638	Abhd1	NaN	NaN		+	
ENSMUSG00000033157	Abhd10	NaN	NaN		+	+
ENSMUSG00000032046	Abhd12	1.556415	1.479911	+	+	+
ENSMUSG00000040396	Abhd13	NaN	NaN		+	+
ENSMUSG00000042210	Abhd14a	NaN	NaN		+	+
ENSMUSG00000042073	Abhd14b	NaN	NaN		+	+
ENSMUSG00000000686	Abhd15	1.890382	1.216826	+	+	
ENSMUSG00000007036	Abhd16a	NaN	NaN		+	+
ENSMUSG00000039202	Abhd2	NaN	NaN		+	+
ENSMUSG00000002475	Abhd3	3.176294	2.688605	+	+	+
ENSMUSG00000040997	Abhd4	2.748681	2.359538	+	+	+
ENSMUSG00000032540	Abhd5	NaN	NaN		+	+
ENSMUSG00000025277	Abhd6	1.588419	1.479609	+	+	+
ENSMUSG00000007950	Abhd8	1.547831	1.329806	+	+	+
ENSMUSG00000058835	Abi1	NaN	NaN		+	+
ENSMUSG00000026782	Abi2	NaN	NaN		+	+
ENSMUSG00000018381	Abi3	1.503053	2.689905	+	+	+
ENSMUSG00000026842	Abl1	NaN	NaN		+	+
ENSMUSG00000026596	Abl2	NaN	NaN		+	+
ENSMUSG00000025085	Ablim1	NaN	NaN		+	+
ENSMUSG00000029095	Ablim2	NaN	NaN		+	+
ENSMUSG00000032735	Ablim3	NaN	NaN		+	+
ENSMUSG00000017631	Abr	NaN	NaN		+	+
ENSMUSG00000036376	Abt1	NaN	NaN		+	+
ENSMUSG00000030083	Abtb1	NaN	NaN		+	+
ENSMUSG00000032724	Abtb2	2.255368	2.01697	+	+	+
ENSMUSG00000036138	Acaa1a	NaN	NaN		+	+
ENSMUSG00000036880	Acaa2	2.969936	2.330566	+	+	+
ENSMUSG00000020532	Acaca	1.834698	1.956655	+	+	+
ENSMUSG00000029456	Acad10	NaN	NaN		+	+
ENSMUSG00000090150	Acad11	2.279148	2.112003	+	+	+
ENSMUSG00000027710	Acad9	NaN	NaN		+	+
ENSMUSG00000026003	Acadl	3.197875	2.615252	+	+	+
ENSMUSG00000062908	Acadm	2.10649	1.89906	+	+	+
ENSMUSG00000029545	Acads	2.195235	2.082445	+	+	+
ENSMUSG00000030861	Acadsb	NaN	NaN		+	+
ENSMUSG00000018574	Acadvl	1.779811	1.571674	+	+	+
ENSMUSG00000030607	Acan	2.383994	1.569536	+	+	+
ENSMUSG00000049076	Acap2	NaN	NaN		+	+
ENSMUSG00000029033	Acap3	NaN	NaN		+	+
ENSMUSG00000032047	Acat1	NaN	NaN		+	+
ENSMUSG00000062480	Acat3	1.798651	1.826918	+	+	
ENSMUSG00000026499	Acbd3	NaN	NaN		+	+
ENSMUSG00000056938	Acbd4	NaN	NaN		+	+
ENSMUSG00000026781	Acbd5	1.925807	1.977379	+	+	+
ENSMUSG00000033701	Acbd6	NaN	NaN		+	+
ENSMUSG00000040272	Accs	NaN	NaN		+	+
ENSMUSG00000038000	Acd	NaN	NaN		+	+
ENSMUSG00000020681	Ace	NaN	NaN		+	+
ENSMUSG00000015405	Ace2	NaN	NaN		+	
ENSMUSG00000038007	Acer2	NaN	NaN		+	+
ENSMUSG00000030760	Acer3	NaN	NaN		+	+
ENSMUSG00000023328	Ache	NaN	NaN		+	+
ENSMUSG00000022185	Acin1	NaN	NaN		+	+
ENSMUSG00000020917	Acly	1.677389	1.997974	+	+	+
ENSMUSG00000028405	Aco1	2.054734	1.925205	+	+	+
ENSMUSG00000022477	Aco2	2.502761	2.341074	+	+	+
ENSMUSG00000072949	Acot1	1.888593	1.645827	+	+	+
ENSMUSG00000006717	Acot13	NaN	NaN		+	+
ENSMUSG00000021226	Acot2	NaN	NaN		+	+
ENSMUSG00000021228	Acot3	NaN	NaN		+	+
ENSMUSG00000028937	Acot7	NaN	NaN		+	+
ENSMUSG00000017307	Acot8	NaN	NaN		+	+
ENSMUSG00000025287	Acot9	NaN	NaN		+	+
ENSMUSG00000020777	Acox1	2.101076	2.120746	+	+	+
ENSMUSG00000029098	Acox3	1.469931	1.54396	+	+	+
ENSMUSG00000044573	Acp1	NaN	NaN		+	+
ENSMUSG00000002103	Acp2	NaN	NaN		+	+
ENSMUSG00000028093	Acp6	NaN	NaN		+	+
ENSMUSG00000032281	Acsbg1	4.150573	3.585199	+	+	+
ENSMUSG00000076435	Acsf2	3.299326	2.91639	+	+	+
ENSMUSG00000015016	Acsf3	NaN	NaN		+	+
ENSMUSG00000018796	Acsl1	NaN	NaN		+	+
ENSMUSG00000032883	Acsl3	2.327919	2.182792	+	+	+
ENSMUSG00000031278	Acsl4	1.582583	1.872811	+	+	+
ENSMUSG00000024981	Acsl5	NaN	NaN		+	+
ENSMUSG00000020333	Acsl6	2.339782	2.22855	+	+	+
ENSMUSG00000027452	Acss1	2.494231	2.045573	+	+	+
ENSMUSG00000027605	Acss2	1.685043	1.675336	+	+	+
ENSMUSG00000031972	Acta1	NaN	NaN		+	+
ENSMUSG00000035783	Acta2	NaN	NaN		+	+
ENSMUSG00000029580	Actb	NaN	NaN		+	+
ENSMUSG00000062825	Actg1	NaN	NaN		+	
ENSMUSG00000027671	Actl6a	NaN	NaN		+	+
ENSMUSG00000029712	Actl6b	NaN	NaN		+	+
ENSMUSG00000015143	Actn1	NaN	NaN		+	+
ENSMUSG00000052374	Actn2	1.217019	1.634636	+	+	+
ENSMUSG00000006457	Actn3	1.394576	1.538787	+	+	+
ENSMUSG00000054808	Actn4	NaN	NaN		+	+
ENSMUSG00000021076	Actr10	NaN	NaN		+	+
ENSMUSG00000025228	Actr1a	NaN	NaN		+	+
ENSMUSG00000037351	Actr1b	NaN	NaN		+	+
ENSMUSG00000020152	Actr2	NaN	NaN		+	+
ENSMUSG00000026341	Actr3	NaN	NaN		+	+
ENSMUSG00000056367	Actr3b	NaN	NaN		+	+
ENSMUSG00000037761	Actr5	NaN	NaN		+	+
ENSMUSG00000019948	Actr6	NaN	NaN		+	+
ENSMUSG00000015971	Actr8	NaN	NaN		+	+
ENSMUSG00000026836	Acvr1	NaN	NaN		+	+
ENSMUSG00000000532	Acvr1b	NaN	NaN		+	+
ENSMUSG00000026834	Acvr1c	1.319724	1.528079	+	+	+
ENSMUSG00000052155	Acvr2a	NaN	NaN		+	+
ENSMUSG00000000530	Acvrl1	NaN	NaN		+	+
ENSMUSG00000023262	Acy1	NaN	NaN		+	+
ENSMUSG00000024866	Acy3	NaN	NaN		+	+
ENSMUSG00000008822	Acyp1	NaN	NaN		+	+
ENSMUSG00000060923	Acyp2	NaN	NaN		+	+
ENSMUSG00000054693	Adam10	NaN	NaN		+	+
ENSMUSG00000020926	Adam11	NaN	NaN		+	+
ENSMUSG00000054555	Adam12	NaN	NaN		+	+
ENSMUSG00000028041	Adam15	NaN	NaN		+	+
ENSMUSG00000052593	Adam17	NaN	NaN		+	+
ENSMUSG00000011256	Adam19	NaN	NaN		+	+
ENSMUSG00000072647	Adam1a	NaN	NaN		+	+
ENSMUSG00000040537	Adam22	NaN	NaN		+	+
ENSMUSG00000025964	Adam23	NaN	NaN		+	+
ENSMUSG00000025473	Adam8	NaN	NaN		+	+
ENSMUSG00000031555	Adam9	1.784175	1.861327	+	+	+
ENSMUSG00000022893	Adamts1	1.038632	1.750677	+	+	+
ENSMUSG00000033453	Adamts15	NaN	NaN		+	+
ENSMUSG00000058145	Adamts17	NaN	NaN		+	+
ENSMUSG00000036545	Adamts2	NaN	NaN		+	+
ENSMUSG00000022449	Adamts20	NaN	NaN		+	+
ENSMUSG00000043635	Adamts3	NaN	NaN		+	+
ENSMUSG00000006403	Adamts4	2.197202	2.865299	+	+	+
ENSMUSG00000022894	Adamts5	NaN	NaN		+	+
ENSMUSG00000046169	Adamts6	NaN	NaN		+	+
ENSMUSG00000031994	Adamts8	NaN	NaN		+	+
ENSMUSG00000030022	Adamts9	NaN	NaN		+	+
ENSMUSG00000066113	Adamtsl1	NaN	NaN		+	+
ENSMUSG00000036040	Adamtsl2	NaN	NaN		+	+
ENSMUSG00000015850	Adamtsl4	NaN	NaN		+	+
ENSMUSG00000056413	Adap1	NaN	NaN		+	+
ENSMUSG00000020709	Adap2	NaN	NaN		+	+
ENSMUSG00000027951	Adar	NaN	NaN		+	+
ENSMUSG00000020262	Adarb1	NaN	NaN		+	+
ENSMUSG00000052551	Adarb2	NaN	NaN		+	+
ENSMUSG00000031949	Adat1	NaN	NaN		+	+
ENSMUSG00000021044	Adck1	NaN	NaN		+	+
ENSMUSG00000046947	Adck2	NaN	NaN		+	+
ENSMUSG00000026489	Adck3	NaN	NaN		+	+
ENSMUSG00000003762	Adck4	NaN	NaN		+	+
ENSMUSG00000022550	Adck5	NaN	NaN		+	+
ENSMUSG00000020431	Adcy1	1.680957	1.932869	+	+	+
ENSMUSG00000021536	Adcy2	2.041387	1.800726	+	+	+
ENSMUSG00000020654	Adcy3	NaN	NaN		+	+
ENSMUSG00000022220	Adcy4	NaN	NaN		+	
ENSMUSG00000022840	Adcy5	1.490956	1.528829	+	+	+
ENSMUSG00000022994	Adcy6	NaN	NaN		+	+
ENSMUSG00000022376	Adcy8	1.705629	1.747728	+	+	+
ENSMUSG00000005580	Adcy9	NaN	NaN		+	+
ENSMUSG00000024256	Adcyap1	1.696005	1.392074	+	+	+
ENSMUSG00000029778	Adcyap1r1	2.147291	2.000002	+	+	+
ENSMUSG00000029106	Add1	NaN	NaN		+	+
ENSMUSG00000030000	Add2	NaN	NaN		+	+
ENSMUSG00000025026	Add3	2.503271	2.456981	+	+	+
ENSMUSG00000028138	Adh5	1.55579	1.353434	+	+	+
ENSMUSG00000025911	Adhfe1	3.417839	2.690881	+	+	+
ENSMUSG00000020629	Adi1	NaN	NaN		+	+
ENSMUSG00000026457	Adipor1	1.57736	1.500911	+	+	+
ENSMUSG00000030168	Adipor2	NaN	NaN		+	+
ENSMUSG00000039197	Adk	2.214372	1.920039	+	+	+
ENSMUSG00000030790	Adm	NaN	NaN		+	+
ENSMUSG00000051149	Adnp	0.6853229	3.294663	+	+	+
ENSMUSG00000053950	Adnp2	NaN	NaN		+	+
ENSMUSG00000057134	Ado	NaN	NaN		+	+
ENSMUSG00000042429	Adora1	1.682096	1.693385	+	+	+
ENSMUSG00000020178	Adora2a	NaN	NaN		+	+
ENSMUSG00000018500	Adora2b	1.73367	1.268302	+	+	+
ENSMUSG00000000562	Adora3	NaN	NaN		+	
ENSMUSG00000025236	Adpgk	NaN	NaN		+	+
ENSMUSG00000002844	Adprh	NaN	NaN		+	+
ENSMUSG00000042558	Adprhl2	NaN	NaN		+	+
ENSMUSG00000045875	Adra1a	1.335978	1.738173	+	+	+
ENSMUSG00000050541	Adra1b	1.793162	1.568177	+	+	+
ENSMUSG00000027335	Adra1d	1.851529	1.751324	+	+	+
ENSMUSG00000033717	Adra2a	1.706424	1.526332	+	+	+
ENSMUSG00000045318	Adra2c	1.660389	1.326152	+	+	+
ENSMUSG00000045730	Adrb2	NaN	NaN		+	
ENSMUSG00000024858	Adrbk1	NaN	NaN		+	+
ENSMUSG00000042249	Adrbk2	NaN	NaN		+	+
ENSMUSG00000039041	Adrm1	NaN	NaN		+	+
ENSMUSG00000022407	Adsl	NaN	NaN		+	+
ENSMUSG00000015961	Adss	NaN	NaN		+	+
ENSMUSG00000020473	Aebp1	NaN	NaN		+	+
ENSMUSG00000030232	Aebp2	NaN	NaN		+	+
ENSMUSG00000030609	Aen	NaN	NaN		+	+
ENSMUSG00000054452	Aes	NaN	NaN		+	+
ENSMUSG00000029094	Afap1	NaN	NaN		+	+
ENSMUSG00000033032	Afap1l1	NaN	NaN		+	+
ENSMUSG00000025083	Afap1l2	NaN	NaN		+	+
ENSMUSG00000029313	Aff1	NaN	NaN		+	+
ENSMUSG00000031189	Aff2	1.068707	1.930369	+	+	+
ENSMUSG00000037138	Aff3	NaN	NaN		+	+
ENSMUSG00000049470	Aff4	NaN	NaN		+	+
ENSMUSG00000031967	Afg3l1	NaN	NaN		+	+
ENSMUSG00000024527	Afg3l2	NaN	NaN		+	+
ENSMUSG00000017718	Afmid	NaN	NaN		+	
ENSMUSG00000049659	Aftph	NaN	NaN		+	+
ENSMUSG00000031521	Aga	1.660174	1.545227	+	+	+
ENSMUSG00000055013	Agap1	1.633983	1.947609	+	+	+
ENSMUSG00000025422	Agap2	1.588614	1.435344	+	+	+
ENSMUSG00000023353	Agap3	NaN	NaN		+	+
ENSMUSG00000040812	Agbl2	NaN	NaN		+	+
ENSMUSG00000038836	Agbl3	NaN	NaN		+	+
ENSMUSG00000026159	Agfg1	NaN	NaN		+	+
ENSMUSG00000029722	Agfg2	NaN	NaN		+	+
ENSMUSG00000021681	Aggf1	NaN	NaN		+	+
ENSMUSG00000029916	Agk	NaN	NaN		+	+
ENSMUSG00000033400	Agl	3.169489	2.666466	+	+	+
ENSMUSG00000050103	Agmo	1.929945	2.722108	+	+	+
ENSMUSG00000034254	Agpat1	NaN	NaN		+	+
ENSMUSG00000001211	Agpat3	2.374325	2.215117	+	+	+
ENSMUSG00000023827	Agpat4	NaN	NaN		+	+
ENSMUSG00000031467	Agpat5	1.939871	1.812399	+	+	+
ENSMUSG00000031545	Agpat6	1.411706	1.504719	+	+	+
ENSMUSG00000029314	Agpat9	NaN	NaN		+	+
ENSMUSG00000042410	Agps	NaN	NaN		+	+
ENSMUSG00000041936	Agrn	NaN	NaN		+	+
ENSMUSG00000031980	Agt	2.833771	2.191176	+	+	+
ENSMUSG00000021557	Agtpbp1	NaN	NaN		+	+
ENSMUSG00000049115	Agtr1a	NaN	NaN		+	
ENSMUSG00000029007	Agtrap	2.550255	2.231863	+	+	+
ENSMUSG00000027597	Ahcy	NaN	NaN		+	+
ENSMUSG00000027893	Ahcyl1	2.175445	1.909589	+	+	+
ENSMUSG00000029772	Ahcyl2	1.80769	1.733329	+	+	+
ENSMUSG00000037692	Ahdc1	1.374937	1.699208	+	+	+
ENSMUSG00000019986	Ahi1	NaN	NaN		+	+
ENSMUSG00000069833	Ahnak	NaN	NaN		+	+
ENSMUSG00000072812	Ahnak2	2.379939	2.240102	+	+	+
ENSMUSG00000019256	Ahr	NaN	NaN		+	+
ENSMUSG00000020288	Ahsa2	NaN	NaN		+	+
ENSMUSG00000024397	Aif1	2.896338	4.572534	+	+	+
ENSMUSG00000001864	Aif1l	NaN	NaN		+	+
ENSMUSG00000036932	Aifm1	NaN	NaN		+	+
ENSMUSG00000020085	Aifm2	1.808923	1.161122	+	+	+
ENSMUSG00000022763	Aifm3	NaN	NaN		+	+
ENSMUSG00000019806	Aig1	1.575935	1.308302	+	+	+
ENSMUSG00000019866	Aim1	NaN	NaN		+	+
ENSMUSG00000037860	Aim2	NaN	NaN		+	+
ENSMUSG00000028029	Aimp1	NaN	NaN		+	+
ENSMUSG00000029610	Aimp2	NaN	NaN		+	+
ENSMUSG00000024847	Aip	NaN	NaN		+	
ENSMUSG00000039546	Ajap1	NaN	NaN		+	+
ENSMUSG00000022178	Ajuba	NaN	NaN		+	
ENSMUSG00000026817	Ak1	NaN	NaN		+	+
ENSMUSG00000028792	Ak2	NaN	NaN		+	+
ENSMUSG00000024782	Ak3	2.242543	2.037302	+	+	+
ENSMUSG00000028527	Ak4	1.540916	1.390958	+	+	+
ENSMUSG00000041323	Ak7	NaN	NaN		+	
ENSMUSG00000018428	Akap1	1.66781	1.638788	+	+	+
ENSMUSG00000047804	Akap10	NaN	NaN		+	+
ENSMUSG00000022016	Akap11	2.094608	2.493373	+	+	+
ENSMUSG00000038587	Akap12	1.685067	2.103472	+	+	+
ENSMUSG00000066406	Akap13	NaN	NaN		+	+
ENSMUSG00000059708	Akap17b	NaN	NaN		+	+
ENSMUSG00000038729	Akap2	1.394156	1.591032	+	+	+
ENSMUSG00000021057	Akap5	NaN	NaN		+	+
ENSMUSG00000061603	Akap6	2.534743	3.29607	+	+	+
ENSMUSG00000039166	Akap7	NaN	NaN		+	+
ENSMUSG00000024045	Akap8	NaN	NaN		+	+
ENSMUSG00000002625	Akap8l	NaN	NaN		+	+
ENSMUSG00000040407	Akap9	1.308559	1.729786	+	+	+
ENSMUSG00000031023	Akip1	NaN	NaN		+	+
ENSMUSG00000023075	Akirin1	NaN	NaN		+	+
ENSMUSG00000028291	Akirin2	NaN	NaN		+	+
ENSMUSG00000039158	Akna	NaN	NaN		+	+
ENSMUSG00000028692	Akr1a1	NaN	NaN		+	+
ENSMUSG00000061758	Akr1b10	2.193514	1.73902	+	+	+
ENSMUSG00000029762	Akr1b8	1.947281	1.483031	+	+	
ENSMUSG00000001729	Akt1	NaN	NaN		+	+
ENSMUSG00000011096	Akt1s1	NaN	NaN		+	+
ENSMUSG00000004056	Akt2	1.715107	1.737423	+	+	+
ENSMUSG00000019699	Akt3	NaN	NaN		+	+
ENSMUSG00000031667	Aktip	1.678832	1.709171	+	+	+
ENSMUSG00000028393	Alad	NaN	NaN		+	+
ENSMUSG00000032786	Alas1	NaN	NaN		+	+
ENSMUSG00000022636	Alcam	1.523889	1.482423	+	+	+
ENSMUSG00000007833	Aldh16a1	NaN	NaN		+	+
ENSMUSG00000025007	Aldh18a1	NaN	NaN		+	+
ENSMUSG00000053279	Aldh1a1	3.676529	3.052908	+	+	+
ENSMUSG00000013584	Aldh1a2	NaN	NaN		+	+
ENSMUSG00000024747	Aldh1a7	3.387178	2.238932	+	+	
ENSMUSG00000035561	Aldh1b1	1.102481	1.627181	+	+	+
ENSMUSG00000030088	Aldh1l1	3.94883	3.515232	+	+	+
ENSMUSG00000020256	Aldh1l2	1.738227	1.711725	+	+	+
ENSMUSG00000029455	Aldh2	2.837235	2.539842	+	+	+
ENSMUSG00000010025	Aldh3a2	NaN	NaN		+	+
ENSMUSG00000024885	Aldh3b1	1.563211	1.249733	+	+	+
ENSMUSG00000028737	Aldh4a1	1.815044	1.573717	+	+	+
ENSMUSG00000035936	Aldh5a1	2.318164	2.387931	+	+	+
ENSMUSG00000021238	Aldh6a1	2.879509	2.535419	+	+	+
ENSMUSG00000053644	Aldh7a1	3.010155	2.647963	+	+	+
ENSMUSG00000026687	Aldh9a1	2.008326	1.753084	+	+	+
ENSMUSG00000030695	Aldoa	NaN	NaN		+	+
ENSMUSG00000017390	Aldoc	3.542751	2.921217	+	+	+
ENSMUSG00000039427	Alg1	NaN	NaN		+	+
ENSMUSG00000063362	Alg11	NaN	NaN		+	+
ENSMUSG00000035845	Alg12	NaN	NaN		+	+
ENSMUSG00000041718	Alg13	NaN	NaN		+	+
ENSMUSG00000039887	Alg14	1.76688	1.660383	+	+	+
ENSMUSG00000039740	Alg2	NaN	NaN		+	+
ENSMUSG00000033809	Alg3	NaN	NaN		+	+
ENSMUSG00000036632	Alg5	NaN	NaN		+	+
ENSMUSG00000073792	Alg6	NaN	NaN		+	+
ENSMUSG00000035704	Alg8	NaN	NaN		+	+
ENSMUSG00000032059	Alg9	1.502736	1.18402	+	+	+
ENSMUSG00000055471	Alk	1.677304	1.706766	+	+	+
ENSMUSG00000040174	Alkbh3	NaN	NaN		+	+
ENSMUSG00000039754	Alkbh4	NaN	NaN		+	+
ENSMUSG00000042650	Alkbh5	NaN	NaN		+	+
ENSMUSG00000042831	Alkbh6	NaN	NaN		+	+
ENSMUSG00000025899	Alkbh8	NaN	NaN		+	+
ENSMUSG00000063810	Alms1	NaN	NaN		+	+
ENSMUSG00000032807	Alox12b	NaN	NaN		+	+
ENSMUSG00000025701	Alox5	1.534924	2.500465	+	+	+
ENSMUSG00000060063	Alox5ap	2.567587	4.031688	+	+	+
ENSMUSG00000028028	Alpk1	NaN	NaN		+	
ENSMUSG00000028766	Alpl	1.872378	1.211144	+	+	+
ENSMUSG00000026024	Als2	NaN	NaN		+	+
ENSMUSG00000044037	Als2cl	NaN	NaN		+	+
ENSMUSG00000022244	Amacr	NaN	NaN		+	+
ENSMUSG00000040506	Ambra1	NaN	NaN		+	+
ENSMUSG00000075232	Amd1	NaN	NaN		+	+
ENSMUSG00000036820	Amdhd2	NaN	NaN		+	+
ENSMUSG00000031751	Amfr	1.902207	1.822365	+	+	+
ENSMUSG00000050947	Amigo1	NaN	NaN		+	+
ENSMUSG00000048218	Amigo2	NaN	NaN		+	+
ENSMUSG00000032593	Amigo3	0.8484637	1.500018	+	+	+
ENSMUSG00000041915	Ammecr1l	NaN	NaN		+	+
ENSMUSG00000068250	Amn1	NaN	NaN		+	+
ENSMUSG00000041688	Amot	4.179544	3.6444	+	+	+
ENSMUSG00000013076	Amotl1	1.472375	1.852543	+	+	+
ENSMUSG00000032531	Amotl2	NaN	NaN		+	+
ENSMUSG00000027889	Ampd2	NaN	NaN		+	+
ENSMUSG00000005686	Ampd3	1.716204	1.465101	+	+	+
ENSMUSG00000021314	Amph	NaN	NaN		+	+
ENSMUSG00000032607	Amt	NaN	NaN		+	+
ENSMUSG00000050022	Amz1	NaN	NaN		+	+
ENSMUSG00000020610	Amz2	NaN	NaN		+	+
ENSMUSG00000014355	Anapc1	NaN	NaN		+	+
ENSMUSG00000036977	Anapc10	NaN	NaN		+	+
ENSMUSG00000025135	Anapc11	NaN	NaN		+	+
ENSMUSG00000035048	Anapc13	NaN	NaN		+	+
ENSMUSG00000026965	Anapc2	NaN	NaN		+	+
ENSMUSG00000029176	Anapc4	NaN	NaN		+	+
ENSMUSG00000029472	Anapc5	NaN	NaN		+	+
ENSMUSG00000029466	Anapc7	NaN	NaN		+	+
ENSMUSG00000021257	Angel1	NaN	NaN		+	+
ENSMUSG00000026634	Angel2	NaN	NaN		+	+
ENSMUSG00000022309	Angpt1	2.356845	2.194803	+	+	+
ENSMUSG00000031465	Angpt2	NaN	NaN		+	+
ENSMUSG00000033544	Angptl1	1.833177	2.389492	+	+	+
ENSMUSG00000004105	Angptl2	NaN	NaN		+	+
ENSMUSG00000002289	Angptl4	1.636504	1.17482	+	+	
ENSMUSG00000031543	Ank1	NaN	NaN		+	+
ENSMUSG00000032826	Ank2	2.962895	3.107918	+	+	+
ENSMUSG00000069601	Ank3	2.677307	3.205308	+	+	+
ENSMUSG00000020790	Ankfy1	NaN	NaN		+	+
ENSMUSG00000040351	Ankib1	NaN	NaN		+	+
ENSMUSG00000029501	Ankle2	NaN	NaN		+	+
ENSMUSG00000036188	Ankmy2	NaN	NaN		+	+
ENSMUSG00000021661	Ankra2	NaN	NaN		+	+
ENSMUSG00000031508	Ankrd10	NaN	NaN		+	+
ENSMUSG00000035569	Ankrd11	NaN	NaN		+	+
ENSMUSG00000034647	Ankrd12	NaN	NaN		+	+
ENSMUSG00000041870	Ankrd13a	NaN	NaN		+	+
ENSMUSG00000037907	Ankrd13b	NaN	NaN		+	+
ENSMUSG00000039988	Ankrd13c	NaN	NaN		+	+
ENSMUSG00000005986	Ankrd13d	NaN	NaN		+	+
ENSMUSG00000047909	Ankrd16	NaN	NaN		+	+
ENSMUSG00000055204	Ankrd17	1.287585	1.59226	+	+	+
ENSMUSG00000007827	Ankrd26	NaN	NaN		+	+
ENSMUSG00000034867	Ankrd27	NaN	NaN		+	+
ENSMUSG00000014496	Ankrd28	NaN	NaN		+	+
ENSMUSG00000021597	Ankrd32	NaN	NaN		+	+
ENSMUSG00000022237	Ankrd33b	NaN	NaN		+	+
ENSMUSG00000049097	Ankrd34a	NaN	NaN		+	+
ENSMUSG00000045034	Ankrd34b	NaN	NaN		+	+
ENSMUSG00000047606	Ankrd34c	NaN	NaN		+	+
ENSMUSG00000050914	Ankrd37	NaN	NaN		+	+
ENSMUSG00000079610	Ankrd39	NaN	NaN		+	+
ENSMUSG00000020864	Ankrd40	2.45391	2.39678	+	+	+
ENSMUSG00000041343	Ankrd42	NaN	NaN		+	+
ENSMUSG00000052331	Ankrd44	NaN	NaN		+	+
ENSMUSG00000044835	Ankrd45	NaN	NaN		+	+
ENSMUSG00000048307	Ankrd46	NaN	NaN		+	+
ENSMUSG00000031931	Ankrd49	NaN	NaN		+	+
ENSMUSG00000044864	Ankrd50	NaN	NaN		+	+
ENSMUSG00000014498	Ankrd52	NaN	NaN		+	+
ENSMUSG00000033055	Ankrd54	NaN	NaN		+	+
ENSMUSG00000049985	Ankrd55	NaN	NaN		+	+
ENSMUSG00000040183	Ankrd6	NaN	NaN		+	+
ENSMUSG00000078137	Ankrd63	NaN	NaN		+	+
ENSMUSG00000022515	Anks3	NaN	NaN		+	+
ENSMUSG00000066191	Anks6	NaN	NaN		+	+
